action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,pod,queue_length,replicas,target_replicas,timestamp,ttft
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:49:34.778Z,
,,,queue,,,,,,,,2025-12-09T20:49:34.778Z,
,,,kv_cache,,36.2,0.362,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:49:34.778Z,
,,,kv_cache,,22.8,0.228,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,,,,2025-12-09T20:49:34.778Z,
,,,kv_cache,,40.1,0.401,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:49:34.778Z,
,,,kv_cache,,29.8,0.298,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:49:34.778Z,
,,,kv_cache,,,,,,,,2025-12-09T20:49:34.778Z,
no-change,,4,scaling_decision,,,,,,,4,2025-12-09T20:49:34.780Z,
,40.0,,metrics,19.25,,,,,4,,2025-12-09T20:50:34.808Z,36.1
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:50:34.810Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,0,,,2025-12-09T20:50:34.810Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:50:34.810Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:50:34.810Z,
,,,queue,,,,,,,,2025-12-09T20:50:34.810Z,
,,,kv_cache,,27.5,0.275,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:50:34.810Z,
,,,kv_cache,,30.0,0.3,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,,,,2025-12-09T20:50:34.810Z,
,,,kv_cache,,34.2,0.342,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:50:34.810Z,
,,,kv_cache,,30.2,0.302,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:50:34.810Z,
,,,kv_cache,,,,,,,,2025-12-09T20:50:34.810Z,
no-change,,4,scaling_decision,,,,,,,4,2025-12-09T20:50:34.812Z,
,40.0,,metrics,19.47,,,,,4,,2025-12-09T20:51:34.836Z,36.27
,,,kv_cache,,27.0,0.27,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:51:34.837Z,
,,,kv_cache,,26.3,0.263,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,,,,2025-12-09T20:51:34.837Z,
,,,kv_cache,,30.6,0.306,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,,,,2025-12-09T20:51:34.837Z,
,,,kv_cache,,37.2,0.372,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,,,,2025-12-09T20:51:34.837Z,
,,,kv_cache,,,,,,,,2025-12-09T20:51:34.837Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:51:34.837Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,0,,,2025-12-09T20:51:34.837Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:51:34.837Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:51:34.837Z,
,,,queue,,,,,,,,2025-12-09T20:51:34.837Z,
no-change,,4,scaling_decision,,,,,,,4,2025-12-09T20:51:34.839Z,
,40.0,,metrics,18.56,,,,,4,,2025-12-09T20:52:34.870Z,35.16
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,0,,,2025-12-09T20:52:34.872Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,0,,,2025-12-09T20:52:34.872Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dpbc8h,0,,,2025-12-09T20:52:34.872Z,
,,,queue,,,,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dbrp9h,0,,,2025-12-09T20:52:34.872Z,
,,,queue,,,,,,,,2025-12-09T20:52:34.872Z,
,,,kv_cache,,30.2,0.302,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgftqv,,,,2025-12-09T20:52:34.872Z,
,,,kv_cache,,21.7,0.217,ms-inference-scheduling-llm-d-modelservice-decode-7b86984dgjkpj,,,,2025-12-09T20:52:34.872Z,
