action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:29:19.446Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:29:19.475Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:19.475Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:19.475Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:29:19.475Z,,
,10.0,,metrics,15.93,,,,,,1,,,,2025-11-28T20:29:49.424Z,,29.03
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:29:49.425Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:29:49.425Z,,
,,,kv_cache,,23.8,0.238,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:29:49.425Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:29:49.425Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:49.425Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:49.425Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:29:49.425Z,,
,10.0,,metrics,15.93,,,,,,1,,,,2025-11-28T20:29:49.491Z,,29.03
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:29:49.492Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:29:49.492Z,,
,,,kv_cache,,23.8,0.238,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:29:49.492Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:29:49.492Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:49.492Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:29:49.492Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:29:49.492Z,,
,10.0,,metrics,16.9,,,,,,1,,,,2025-11-28T20:30:19.453Z,,31.91
,,,kv_cache,,23.8,0.238,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:30:19.454Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:30:19.454Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:30:19.454Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:30:19.454Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:19.454Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:19.454Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:30:19.455Z,,
,10.0,,metrics,16.9,,,,,,1,,,,2025-11-28T20:30:19.508Z,,31.91
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:30:19.510Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:30:19.510Z,,
,,,kv_cache,,23.8,0.238,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:30:19.510Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:30:19.510Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:19.510Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:19.510Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:30:19.510Z,,
,10.0,,metrics,17.48,,,,,,1,,,,2025-11-28T20:30:49.472Z,,33.39
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:30:49.474Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:30:49.474Z,,
,,,kv_cache,,23.3,0.233,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:30:49.474Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:30:49.474Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:49.474Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:49.474Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:30:49.474Z,,
,10.0,,metrics,17.48,,,,,,1,,,,2025-11-28T20:30:49.526Z,,33.39
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:30:49.528Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:30:49.528Z,,
,,,kv_cache,,23.3,0.233,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:30:49.528Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:30:49.528Z,,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:49.528Z,1,
,,,capacity_analysis,,,,1,,,,False,False,,2025-11-28T20:30:49.528Z,1,
no-change,,1,scaling_decision,,,,,,,,,,1,2025-11-28T20:30:49.528Z,,
,10.0,,metrics,19.47,,,,,,1,,,,2025-11-28T20:31:19.585Z,,38.1
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:31:19.586Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:31:19.586Z,,
,,,kv_cache,,35.7,0.357,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:31:19.586Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:31:19.586Z,,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T20:31:19.586Z,1,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T20:31:19.586Z,1,
scale-up,,1,scaling_decision,,,,,,,,,,2,2025-11-28T20:31:19.586Z,,
,10.0,,metrics,19.47,,,,,,1,,,,2025-11-28T20:31:19.601Z,,38.1
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:31:19.602Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:31:19.602Z,,
,,,kv_cache,,35.7,0.357,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:31:19.602Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T20:31:19.602Z,,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T20:31:19.602Z,1,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T20:31:19.602Z,1,
scale-up,,1,scaling_decision,,,,,,,,,,2,2025-11-28T20:31:19.602Z,,
,20.0,,metrics,37.11,,,,,,2,,,,2025-11-28T20:31:49.613Z,,60.14
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T20:31:49.614Z,,
,,,queue,,,,,,,,,,,2025-11-28T20:31:49.614Z,,
,,,kv_cache,,97.1,0.971,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T20:31:49.614Z,,
