action,cost,current_replicas,event_type,itl,kv_cache_percent,kv_cache_usage,non_saturated_replicas,pod,queue_length,replicas,scale_down_safe,should_scale_up,target_replicas,timestamp,total_replicas,ttft
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:01:45.746Z,1,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:01:45.746Z,1,
scale-up,,1,scaling_decision,,,,,,,,,,2,2025-11-28T02:01:45.746Z,,
,20.0,,metrics,25.92,,,,,,2,,,,2025-11-28T02:02:15.764Z,,45.8
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:02:15.766Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:02:15.766Z,,
,,,kv_cache,,47.7,0.477,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:02:15.766Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:02:15.766Z,,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:02:15.766Z,1,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:02:15.766Z,1,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:02:15.766Z,,
,20.0,,metrics,25.92,,,,,,2,,,,2025-11-28T02:02:15.780Z,,45.8
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:02:15.782Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:02:15.782Z,,
,,,kv_cache,,47.7,0.477,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:02:15.782Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:02:15.782Z,,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:02:15.782Z,1,
,,,capacity_analysis,,,,1,,,,False,True,,2025-11-28T02:02:15.782Z,1,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:02:15.782Z,,
,20.0,,metrics,46.99,,,,,,2,,,,2025-11-28T02:02:45.789Z,,75.16
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:02:45.875Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:02:45.875Z,,
,,,kv_cache,,81.2,0.812,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:02:45.875Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:02:45.875Z,,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:02:45.875Z,1,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:02:45.875Z,1,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:02:45.875Z,,
,20.0,,metrics,46.99,,,,,,2,,,,2025-11-28T02:02:45.891Z,,75.16
,,,kv_cache,,81.2,0.812,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:02:45.893Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:02:45.893Z,,
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:02:45.893Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:02:45.893Z,,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:02:45.893Z,1,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:02:45.893Z,1,
no-change,,2,scaling_decision,,,,,,,,,,2,2025-11-28T02:02:45.893Z,,
,20.0,,metrics,54.07,,,,,,2,,,,2025-11-28T02:03:15.902Z,,87.37
,,,queue,,,,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,0,,,,,2025-11-28T02:03:15.903Z,,
,,,queue,,,,,,,,,,,2025-11-28T02:03:15.903Z,,
,,,kv_cache,,89.7,0.897,,ms-inference-scheduling-llm-d-modelservice-decode-789945f9l76md,,,,,,2025-11-28T02:03:15.903Z,,
,,,kv_cache,,,,,,,,,,,2025-11-28T02:03:15.903Z,,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:15.904Z,1,
,,,capacity_analysis,,,,0,,,,False,True,,2025-11-28T02:03:15.904Z,1,
